rxcui,drug_name,eii_score,eii_rank,eii_percentile,eii_tier,ehi_v6_score,ai_readiness_score,claims_readiness_score,clinical_semantics_score,knowledge_graph_score,explainability_score,eii_framework_version,eii_weighting_method
110,oxyquinoline,36.0555,12572,58.278574,Foundational,59.145,15.0,50.0,0.0,58.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
149,acebutolol,36.2907,12488,58.554029,Foundational,58.4689,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
154,acenocoumarol,35.1046,12771,57.619806,Foundational,59.182,15.0,50.0,0.0,48.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
155,acepromazine,36.1409,12564,58.303465,Foundational,57.9696,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
161,acetaminophen,35.2516,12719,57.789061,Foundational,59.3788,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
162,acetanilide,26.8249,15178,49.60839,Foundational,52.7364,9.0,42.0,0.0,13.04,16.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
164,acetate,27.2589,15161,49.688039,Foundational,52.7364,9.0,42.0,0.0,17.38,16.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
167,acetazolamide,36.5046,12448,58.686778,Foundational,59.182,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
168,acetic acid,35.6999,12632,58.08111,Foundational,59.4163,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
173,acetohexamide,35.4556,12693,57.878667,Foundational,58.7955,15.0,50.0,0.0,53.17,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
178,acetone,32.3588,13280,55.930572,Foundational,57.5161,15.0,50.0,0.0,26.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
193,acetylcarnitine,35.9041,12603,58.170716,Foundational,57.1804,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
194,acetylcholine,36.5381,12443,58.705031,Foundational,57.8336,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
195,acetylcholinesterase,30.5251,13871,53.927718,Foundational,57.1804,15.0,50.0,0.0,8.71,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
197,acetylcysteine,35.697,12633,58.077791,Foundational,59.4068,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
199,acetyldigoxins,22.6877,16010,45.942851,Foundational,47.3891,4.5,36.0,0.0,8.71,13.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
200,acetylene,24.4537,15625,48.101686,Foundational,49.499,6.0,38.0,0.0,13.04,14.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
211,Topicycline,8.6395,23417,11.145958,Foundational,17.9649,0.0,15.0,0.0,0.0,10.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
236,acidulated phosphate fluoride,26.6667,15197,49.565246,Foundational,47.3891,4.5,36.0,0.0,48.5,13.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
239,aclarubicin,31.2853,13502,55.193814,Foundational,56.2443,13.5,48.0,0.0,26.12,19.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
242,aconite,18.8152,18151,39.753418,Foundational,36.2574,1.5,32.0,0.0,17.38,11.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
249,acriflavine,36.4822,12453,58.675163,Foundational,57.6472,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
270,spectinomycin,35.8527,12608,58.157441,Foundational,58.4689,15.0,50.0,0.0,58.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
272,activated charcoal,35.2491,12722,57.780765,Foundational,59.3702,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
281,acyclovir,35.1667,12752,57.672906,Foundational,59.0958,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
290,adenine,31.1541,13510,55.167264,Foundational,57.8336,15.0,50.0,0.0,13.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
296,adenosine,36.9958,12393,58.874286,Foundational,59.3594,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
309,adenosine monophosphate,31.6244,13423,55.455994,Foundational,59.4013,15.0,50.0,0.0,13.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
318,adenosine triphosphate,35.1671,12751,57.686181,Foundational,57.8336,15.0,50.0,0.0,53.17,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
332,Adipex-P,23.3272,15962,47.024758,Foundational,36.2574,1.5,32.0,0.0,62.5,11.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
333,adiphenine,25.3207,15367,49.001062,Foundational,49.499,6.0,38.0,0.0,21.71,14.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
362,epinephrine hydrochloride,35.9041,12603,58.170716,Foundational,57.1804,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
376,corticotropin,35.5136,12668,57.959976,Foundational,58.7955,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
388,polymyxin B sulfate,35.7029,12629,58.089407,Foundational,57.9696,15.0,50.0,0.0,58.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
397,agar,31.0588,13535,55.07434,Foundational,57.5161,15.0,50.0,0.0,13.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
411,air,30.7211,13762,54.312691,Foundational,57.8336,15.0,50.0,0.0,8.71,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
423,ajmaline,29.4911,14237,52.751228,Foundational,55.5102,12.0,46.0,0.0,17.38,18.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
426,alanine,35.1667,12752,57.672906,Foundational,59.0958,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
430,albendazole,35.552,12662,57.97491,Foundational,58.9233,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
435,albuterol,38.1894,12293,59.20616,Foundational,69.1712,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
448,ethanol,35.2626,12714,57.808974,Foundational,59.4155,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
460,alcuronium,26.8249,15178,49.60839,Foundational,52.7364,9.0,42.0,0.0,13.04,16.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
479,Alfenta,8.6395,23417,11.145958,Foundational,17.9649,0.0,15.0,0.0,0.0,10.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
480,alfentanil,35.7939,12623,58.109319,Foundational,58.3698,15.0,50.0,0.0,57.83,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
508,allantoin,35.1815,12746,57.696137,Foundational,59.145,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
513,allethrin,24.0207,15656,47.577326,Foundational,49.499,6.0,38.0,0.0,8.71,14.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
516,allobarbital,26.8249,15178,49.60839,Foundational,52.7364,9.0,42.0,0.0,13.04,16.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
519,allopurinol,35.6651,12641,58.049582,Foundational,59.3004,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
525,allylestrenol,32.4621,13268,55.970397,Foundational,57.8336,15.0,50.0,0.0,26.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
528,almitrine,29.9241,13997,53.549383,Foundational,55.5102,12.0,46.0,0.0,21.71,18.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
529,almitrine dimesylate,18.3812,18159,39.418226,Foundational,36.2574,1.5,32.0,0.0,13.04,11.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
535,alpha 1-antitrypsin,36.4787,12456,58.661888,Foundational,59.0958,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
560,alpha-amylase,27.6293,15090,49.812492,Foundational,54.5277,10.5,44.0,0.0,8.71,17.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
569,eflornithine,36.3886,12474,58.602151,Foundational,58.7955,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
594,alphaprodine,26.8249,15178,49.60839,Foundational,52.7364,9.0,42.0,0.0,13.04,16.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
595,algestone,23.1207,15968,46.948427,Foundational,47.3891,4.5,36.0,0.0,13.04,13.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
596,alprazolam,34.9787,12826,57.435617,Foundational,58.4689,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
597,alprenolol,31.0108,13561,54.99469,Foundational,57.356,15.0,50.0,0.0,13.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
598,alprostadil,35.1667,12752,57.672906,Foundational,59.0958,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
599,alseroxylon,25.1277,15400,48.61443,Foundational,50.8556,7.5,40.0,0.0,8.71,15.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
611,aluminum aspirin,27.788,15088,49.930307,Foundational,62.0568,6.0,38.0,0.0,8.71,14.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
612,aluminum hydroxide,35.1667,12752,57.672906,Foundational,59.0958,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
613,aluminum hydroxide gel,31.0108,13561,54.99469,Foundational,57.356,15.0,50.0,0.0,13.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
615,aluminum oxide,35.1923,12745,57.706093,Foundational,58.6977,15.0,50.0,0.0,50.83,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
620,amantadine,35.4843,12688,57.890283,Foundational,58.6977,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
621,amantadine sulfate,24.4537,15625,48.101686,Foundational,49.499,6.0,38.0,0.0,13.04,14.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
623,ambenonium,34.8378,12841,57.387495,Foundational,57.5161,15.0,50.0,0.0,50.83,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
624,ambenonium chloride,28.0623,14650,51.370636,Foundational,54.5277,10.5,44.0,0.0,13.04,17.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
625,ambroxol,35.9213,12601,58.18399,Foundational,58.6977,15.0,50.0,0.0,58.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
626,amdinocillin,30.7619,13744,54.362472,Foundational,57.9696,15.0,50.0,0.0,8.71,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
627,amdinocillin pivoxil,36.7287,12418,58.791318,Foundational,58.4689,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
632,mitomycin,35.6406,12643,58.044604,Foundational,59.2187,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
641,amikacin,36.4644,12460,58.648613,Foundational,59.048,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
643,amikacin sulfate,35.3048,12703,57.843821,Foundational,57.5161,15.0,50.0,0.0,55.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
644,amiloride,35.0766,12774,57.599894,Foundational,58.7955,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
645,aminacrine,32.6447,13210,56.162883,Foundational,58.4689,15.0,50.0,0.0,26.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
677,aminoglutethimide,35.0477,12820,57.457188,Foundational,58.9924,15.0,50.0,0.0,48.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
683,aminolevulinic acid,36.8857,12404,58.832802,Foundational,58.9924,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
689,aminophylline,35.4843,12688,57.890283,Foundational,58.6977,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
695,aminopyrine,31.6073,13425,55.449356,Foundational,59.3443,15.0,50.0,0.0,13.04,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
703,amiodarone,35.3859,12696,57.865392,Foundational,58.3698,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
704,amitriptyline,35.1357,12765,57.638059,Foundational,58.9924,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
709,ammonium,24.8877,15579,48.297491,Foundational,49.499,6.0,38.0,0.0,17.38,14.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
712,ammonium chloride,36.427,12469,58.615425,Foundational,58.9233,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
719,amobarbital,35.8229,12621,58.115956,Foundational,58.3698,15.0,50.0,0.0,58.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
720,amodiaquine,34.7898,12846,57.370901,Foundational,57.356,15.0,50.0,0.0,50.83,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
722,amoxapine,36.3886,12474,58.602151,Foundational,58.7955,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
723,amoxicillin,35.1815,12746,57.696137,Foundational,59.145,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
725,amphetamine,35.2281,12728,57.759193,Foundational,59.3004,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
732,amphotericin B,35.5894,12654,58.004779,Foundational,59.048,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
733,ampicillin,35.1926,12744,57.709412,Foundational,59.182,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
738,inamrinone,34.6577,12858,57.331077,Foundational,58.4689,15.0,50.0,0.0,46.17,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
739,amsacrine,30.7619,13744,54.362472,Foundational,57.9696,15.0,50.0,0.0,8.71,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
742,amyl nitrite,34.9593,12831,57.420682,Foundational,58.6977,15.0,50.0,0.0,48.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
743,amylase,34.6928,12856,57.336055,Foundational,57.5161,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
756,Anafranil,23.3272,15962,47.024758,Foundational,36.2574,1.5,32.0,0.0,62.5,11.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
768,Synflex,8.6395,23417,11.145958,Foundational,17.9649,0.0,15.0,0.0,0.0,10.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
769,Anaspaz,23.7652,15944,47.069561,Foundational,36.2574,1.5,32.0,0.0,66.88,11.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
772,ancrod,30.3651,13908,53.846409,Foundational,55.5102,12.0,46.0,0.0,26.12,18.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
784,androstenedione,32.6527,13208,56.167861,Foundational,58.4689,15.0,50.0,0.0,26.12,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
820,anethole trithione,29.0571,14323,52.45918,Foundational,55.5102,12.0,46.0,0.0,13.04,18.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
865,antazoline,36.0067,12582,58.245387,Foundational,58.299,15.0,50.0,0.0,60.17,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
